state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size
UT,2015,24.5,23.5,25.5,10455.0
VT,2015,25.1,23.8,26.6,6008.0
VA,2015,29.2,27.9,30.6,8030.0
WA,2015,26.4,25.5,27.4,14694.0
WV,2015,35.6,34.1,37.1,5471.0
WI,2015,30.7,29.0,32.4,5755.0
WY,2015,29.0,27.0,31.1,5010.0
AL,2016,35.7,34.2,37.3,6526.0
AK,2016,31.4,28.5,34.4,2739.0
AZ,2016,29.0,27.5,30.6,10033.0
AR,2016,35.7,33.3,38.1,4859.0
CA,2016,25.0,23.9,26.1,10352.0
CO,2016,22.3,21.4,23.2,13637.0
CT,2016,26.0,24.8,27.2,9960.0
DE,2016,30.7,28.7,32.8,3702.0
DC,2016,22.6,20.9,24.3,3479.0
FL,2016,27.4,26.4,28.5,33186.0
GA,2016,31.4,29.7,33.2,4884.0
HI,2016,23.8,22.5,25.2,7659.0
ID,2016,27.4,25.6,29.3,4880.0
IL,2016,31.6,29.9,33.3,4518.0
IN,2016,32.5,31.2,33.8,10319.0
IA,2016,32.0,30.5,33.4,6645.0
KS,2016,31.2,30.1,32.3,10947.0
KY,2016,34.2,32.7,35.6,9583.0
LA,2016,35.5,33.4,37.7,4868.0
ME,2016,29.9,28.5,31.3,9554.0
MD,2016,29.9,28.9,31.0,16701.0
MA,2016,23.6,22.3,24.9,7480.0
MI,2016,32.5,31.4,33.6,11130.0
MN,2016,27.8,26.9,28.6,15420.0
MS,2016,37.3,35.4,39.1,4821.0
MO,2016,31.7,30.0,33.4,6578.0
MT,2016,25.5,23.9,27.2,5483.0
NE,2016,32.0,30.8,33.2,14173.0
NV,2016,25.8,23.9,27.8,3981.0
NH,2016,26.6,25.0,28.2,5888.0
NJ,2016,27.4,25.7,29.1,6810.0
NM,2016,28.3,26.6,30.1,5531.0
NY,2016,25.5,24.6,26.5,31269.0
NC,2016,31.8,30.4,33.3,5984.0
ND,2016,31.9,30.3,33.6,5348.0
OH,2016,31.5,30.2,32.8,11455.0
OK,2016,32.8,31.2,34.3,6449.0
OR,2016,28.7,27.3,30.3,5000.0
PA,2016,30.3,28.8,31.8,6367.0
RI,2016,26.6,24.9,28.4,4936.0
SC,2016,32.3,31.0,33.6,10503.0
SD,2016,29.6,27.6,31.7,5371.0
TN,2016,34.8,33.0,36.7,5657.0
TX,2016,33.7,31.9,35.4,10789.0
UT,2016,25.4,24.2,26.5,10043.0
VT,2016,27.1,25.5,28.7,6071.0
VA,2016,29.0,27.7,30.3,8293.0
WA,2016,28.6,27.6,29.6,12990.0
WV,2016,37.7,36.3,39.0,6635.0
WI,2016,30.7,29.0,32.5,4793.0
WY,2016,27.7,25.7,29.8,4200.0
AL,2017,36.3,34.7,38.0,6245.0
AK,2017,34.2,31.4,37.1,3031.0
AZ,2017,29.5,28.5,30.5,14164.0
AR,2017,35.0,32.6,37.5,4884.0
CA,2017,25.1,23.8,26.4,8475.0
CO,2017,22.6,21.6,23.7,9063.0
CT,2017,26.9,25.6,28.1,9505.0
DE,2017,31.8,29.7,34.0,3648.0
DC,2017,23.0,21.4,24.7,4091.0
FL,2017,28.4,27.0,29.9,19913.0
GA,2017,31.6,30.0,33.3,5369.0
HI,2017,23.8,22.4,25.2,7319.0
ID,2017,29.3,27.5,31.2,4623.0
IL,2017,31.1,29.5,32.7,5247.0
IN,2017,33.6,32.5,34.7,12973.0
IA,2017,36.4,35.1,37.7,7113.0
KS,2017,32.4,31.5,33.2,19783.0
KY,2017,34.3,32.6,36.0,8018.0
LA,2017,36.2,34.4,38.1,4439.0
ME,2017,29.1,27.7,30.6,9295.0
MD,2017,31.3,30.0,32.6,12386.0
MA,2017,25.9,24.1,27.7,6272.0
MI,2017,32.3,31.1,33.4,10129.0
MN,2017,28.4,27.5,29.4,15445.0
MS,2017,37.3,35.3,39.3,4750.0
MO,2017,32.5,30.9,34.0,7010.0
MT,2017,25.3,23.8,26.9,5512.0
NE,2017,32.8,31.6,34.0,14330.0
NV,2017,26.7,24.5,29.0,3496.0
NH,2017,28.1,26.3,29.9,5191.0
NJ,2017,27.3,25.8,28.7,10394.0
NM,2017,28.4,26.8,30.0,6046.0
NY,2017,25.7,24.6,26.9,11180.0
NC,2017,32.1,30.4,34.0,4483.0
ND,2017,33.2,31.6,34.7,6532.0
OH,2017,33.8,32.5,35.1,11398.0
OK,2017,36.5,34.9,38.1,6113.0
OR,2017,29.4,27.9,30.9,4909.0
PA,2017,31.6,30.0,33.2,6135.0
RI,2017,30.0,28.1,31.9,5141.0
SC,2017,34.1,32.8,35.4,10475.0
SD,2017,31.9,29.8,34.1,6533.0
TN,2017,32.8,31.1,34.6,5354.0
TX,2017,33.0,31.2,34.9,11238.0
UT,2017,25.3,24.2,26.4,9325.0
VT,2017,27.6,26.0,29.2,5980.0
VA,2017,30.1,28.7,31.4,8809.0
WA,2017,27.7,26.6,28.7,12062.0
WV,2017,38.1,36.4,39.7,5116.0
