state,year,pct_65plus
WI,2013,14.727474654086986
WY,2013,13.61637701100214
AL,2014,15.36588492401985
AK,2014,9.791289607000092
AZ,2014,15.796968702551721
AR,2014,15.722356554014773
CA,2014,12.87618821527119
CO,2014,12.714069108910854
CT,2014,15.693161112098945
DE,2014,16.573975627709167
DC,2014,11.721985729651118
FL,2014,19.062576133908742
GA,2014,12.477458771652348
HI,2014,16.794566025379112
ID,2014,14.222061154039876
IL,2014,13.991925796782965
IN,2014,14.287679589670535
IA,2014,15.751994472984395
KS,2014,14.403355215171407
KY,2014,14.8875822584786
LA,2014,13.713390853013602
ME,2014,18.294225401256107
MD,2014,13.858637917114361
MA,2014,15.100705744293705
MI,2014,15.42519983730577
MN,2014,14.269417599095165
MS,2014,14.321160683811218
MO,2014,15.440357233719634
MT,2014,16.65099506491773
NE,2014,14.459516450195652
NV,2014,14.256827525275915
NH,2014,15.934361092021115
NJ,2014,14.874497342454724
NM,2014,15.271163352635101
NY,2014,14.895559930983833
NC,2014,14.843825892080172
ND,2014,14.306800585496257
OH,2014,15.524041739977449
OK,2014,14.541957011854091
OR,2014,15.851749524490415
PA,2014,16.697730200731698
RI,2014,15.829499523980548
SC,2014,15.91005377152026
SD,2014,15.171367214784892
TN,2014,15.072443994070186
TX,2014,11.472125851311567
UT,2014,10.03189838339702
VT,2014,16.904296859378274
VA,2014,13.999306223202261
WA,2014,14.07108609264905
WV,2014,17.810932521786526
WI,2014,15.13941555518918
WY,2014,14.132488415710503
AL,2015,15.746250019881602
AK,2015,10.336943458433776
AZ,2015,16.26889211457269
AR,2015,16.022085887095283
CA,2015,13.254083525369007
CO,2015,13.062838069107022
CT,2015,16.054702595960748
DE,2015,17.0882933336743
DC,2015,11.887082519476854
FL,2015,19.422324868765124
GA,2015,12.863386277111143
HI,2015,17.33625448337614
ID,2015,14.635449711700717
IL,2015,14.370925903713944
IN,2015,14.629419384789468
IA,2015,16.033585348396567
KS,2015,14.720805852685253
KY,2015,15.251751847522383
LA,2015,14.092951008028178
ME,2015,18.842416465605787
MD,2015,14.240239233253261
MA,2015,15.434598070285105
MI,2015,15.829597040249652
