state,year,income_pc_nominal,income_pc_real,unemployment_rate
HI,2017,50506.0,64634.44495492846,2.2333333333333334
HI,2018,51554.0,64402.52500894373,2.4
HI,2019,53940.0,66183.78567151549,2.5083333333333333
HI,2020,57030.0,69122.49728405588,11.741666666666667
HI,2021,61269.0,70928.21663488266,5.966666666666666
HI,2022,63296.0,67845.25823388694,3.2416666666666667
HI,2023,67571.0,69564.0236761706,2.8666666666666667
HI,2024,71573.0,71573.0,2.766666666666666
ID,2011,33447.0,46643.501725281276,8.441666666666666
ID,2012,34812.0,47562.82668348863,7.5249999999999995
ID,2013,35699.0,48070.56089873492,6.8999999999999995
ID,2014,37107.0,49168.8773303896,4.408333333333333
ID,2015,38813.0,51368.48702062158,3.908333333333333
ID,2016,39653.0,51826.382857317454,3.7083333333333335
ID,2017,41197.0,52721.36436875199,3.1833333333333336
ID,2018,43254.0,54033.96083207612,2.875
ID,2019,45880.0,56294.25447922007,2.8833333333333333
ID,2020,49726.0,60269.775555794535,5.55
ID,2021,55603.0,64368.95705086391,3.5500000000000003
ID,2022,57074.0,61176.065919503024,2.858333333333333
ID,2023,59220.0,60966.7088263134,3.1833333333333336
ID,2024,62346.0,62346.0,3.5666666666666664
IL,2011,44075.0,61464.775272573694,9.766666666666667
IL,2012,45934.0,62758.55684474799,9.033333333333333
IL,2013,46735.0,62931.10909555944,9.075000000000001
IL,2014,48536.0,64312.94985064246,7.158333333333334
IL,2015,50688.0,67084.89088968301,5.991666666666667
IL,2016,51347.0,67110.41486330617,5.883333333333333
IL,2017,53056.0,67897.77673006542,4.958333333333333
IL,2018,56077.0,70052.76787303678,4.391666666666667
IL,2019,57738.0,70843.88982391475,3.975
IL,2020,61597.0,74657.87243917218,9.333333333333334
IL,2021,66852.0,77391.39105379842,6.1000000000000005
IL,2022,68110.0,73005.25370181433,4.566666666666666
IL,2023,71812.0,73930.11304010838,4.4750000000000005
IL,2024,74564.0,74564.0,4.983333333333333
IN,2011,37681.0,52548.024890433335,8.908333333333333
IN,2012,39148.0,53487.00272909379,8.216666666666667
IN,2013,39435.0,53101.279280697265,7.508333333333333
IN,2014,40719.0,53954.98197149147,5.95
IN,2015,42146.0,55779.667997091616,4.8
IN,2016,43143.0,56387.805099569945,4.391666666666667
IN,2017,44568.0,57035.36100168795,3.525
IN,2018,46555.0,58157.651235430334,3.4333333333333336
IN,2019,48270.0,59226.758145421816,3.3166666666666664
IN,2020,51776.0,62754.452382592965,7.383333333333333
IN,2021,57389.0,66436.52457946565,3.9166666666666665
IN,2022,58697.0,62915.715409417055,3.0666666666666664
IN,2023,61375.0,63185.27109447796,3.4166666666666665
IN,2024,63980.0,63980.0,4.0249999999999995
IA,2011,40879.0,57007.79463114101,5.583333333333333
IA,2012,42539.0,58120.04723339432,5.008333333333334
IA,2013,43009.0,57913.856233891434,4.7250000000000005
IA,2014,44120.0,58461.49965819897,4.258333333333334
IA,2015,45442.0,60141.87996782227,3.716666666666667
IA,2016,45669.0,59689.28148465011,3.6
IA,2017,46767.0,59849.50475601194,3.091666666666667
IA,2018,48773.0,60928.43139739327,2.5833333333333335
IA,2019,49674.0,60949.450675692635,2.6583333333333337
IA,2020,52677.0,63846.49814890778,5.216666666666667
IA,2021,58242.0,67424.00224010243,3.8833333333333333
IA,2022,61226.0,65626.48162013337,2.85
IA,2023,62760.0,64611.12201856516,2.9583333333333335
IA,2024,65448.0,65448.0,3.141666666666667
KS,2011,42889.0,59810.83940250512,6.3500000000000005
KS,2012,44913.0,61363.58826943367,5.683333333333334
KS,2013,45669.0,61495.68463218368,5.316666666666666
