state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
AR,2012,34.5,32.7,36.4,4943.0,11.2,10.3,12.3,77.0,14.0,13.0,92.85714285714286,,2952876,15.014458714599908,36289.0,49580.81746286105,7.258333333333333,,0.02607627275916767,10.811359293207618,14.89829016864901
AR,2013,34.6,32.7,36.6,5023.0,11.5,10.4,12.7,164.0,16.0,11.0,68.75,,2960459,15.35711940002397,36286.0,48860.9869400122,7.041666666666667,,0.05539681515602817,10.796734543953045,14.900854881846078
AR,2014,35.9,33.8,38.0,4886.0,12.7,11.6,14.0,322.0,16.0,6.0,37.5,,2968759,15.722356554014771,38220.0,50643.66538840355,5.875,,0.10846282908110763,10.83256943548625,14.90365457833944
AR,2015,34.5,32.2,36.9,4813.0,12.6,11.4,14.0,483.0,23.0,14.0,60.869565217391305,,2979732,16.022085887095283,39267.0,51969.34995591032,4.95,,0.1620951145941984,10.858409399860191,14.907343921551476
AR,2016,35.7,33.3,38.1,4859.0,13.5,12.1,14.9,602.0,32.0,24.0,75.0,929373.0,2991815,16.32463098852619,40181.0,52516.477683652505,3.975,0.6477485358408304,0.20121565003183686,10.868882259976768,14.911390784614053
AR,2017,35.0,32.6,37.5,4884.0,12.2,11.0,13.6,869.0,31.0,13.0,41.935483870967744,935172.0,3003855,16.634107667169086,41403.0,52984.99038666501,3.7416666666666663,0.9292408241478572,0.2892949226910087,10.877763952173892,14.915407021726477
AR,2018,37.1,35.1,39.1,4963.0,13.9,12.7,15.1,1787.0,30.0,16.0,53.333333333333336,899004.0,3012161,16.98093253454885,43031.0,53755.38374636028,3.65,1.9877553381297526,0.593261781159772,10.89219910369694,14.918168319328615
AR,2019,37.4,35.5,39.4,4922.0,13.6,12.5,14.8,3480.0,57.0,35.0,61.40350877192982,864307.0,3020985,17.37491490443266,43737.0,53664.8170914919,3.4916666666666667,4.026347119715564,1.1519421645589105,10.890512890570896,14.921093495113185
AR,2020,36.4,34.5,38.4,4696.0,13.2,12.1,14.3,5045.0,73.0,40.0,54.794520547945204,890967.0,3014546,17.181905720736236,47131.0,57124.53830431066,6.158333333333334,5.662387046882769,1.6735521700448426,10.952989045963594,14.918959796373874
AR,2021,38.7,36.6,40.8,4782.0,12.5,11.4,13.6,6331.0,89.0,50.0,56.17977528089887,978673.0,3026870,17.355137339636453,53349.0,61759.60810939227,4.041666666666667,6.468963586407309,2.091599573156429,11.031004839299515,14.92303964026959
AR,2022,37.4,35.6,39.2,4652.0,15.7,14.6,16.9,10125.0,106.0,48.0,45.283018867924525,1049090.0,3047704,17.616612652331103,53714.0,57574.57344500448,3.1750000000000003,9.651221534854017,3.3221730194270833,10.960836315977195,14.929899078212022
AR,2023,40.0,38.2,41.9,4901.0,14.5,13.4,15.8,17586.0,152.0,65.0,42.76315789473684,,3069463,17.93278150793423,56540.0,58207.661550823366,3.158333333333333,,5.729340930319082,10.971772266822237,14.937013185696568
AR,2024,38.9,37.2,40.7,4870.0,15.3,14.2,16.5,18750.0,170.0,56.0,32.94117647058823,,3088354,18.246632097476688,59172.0,59172.0,3.4916666666666667,,6.071195206249024,10.988203736012126,14.943148820862149
CA,2011,23.8,22.9,24.7,17088.0,8.9,8.4,9.5,10755.0,40.0,3.0,7.5,,37636311,11.715410032454727,45508.0,63463.16490310343,11.733333333333334,,0.2857612692168475,11.058214936303045,17.443479860439517
CA,2012,25.0,23.9,26.0,13646.0,9.8,9.1,10.5,10268.0,45.0,7.0,15.555555555555555,,37944551,12.144628457708484,47793.0,65298.4653476954,10.391666666666667,,0.27060538942732515,11.08672381342167,17.451636467834078
CA,2013,24.1,23.0,25.3,10669.0,10.2,9.4,11.0,10897.0,43.0,3.0,6.976744186046512,,38253768,12.512265838759737,48074.0,64734.14226297046,9.025,,0.2848608273046462,11.078044042431543,17.45975262318897
CA,2014,24.7,23.5,25.9,8025.0,10.3,9.5,11.1,15617.0,49.0,6.0,12.244897959183673,,38586706,12.87618821527119,50617.0,67070.39275156522,7.566666666666666,,0.40472488115466504,11.11349798492225,17.468418370969253
CA,2015,24.2,23.2,25.2,11459.0,10.0,9.3,10.8,29702.0,120.0,25.0,20.833333333333332,,38904296,13.254083525369008,53816.0,71224.75710462399,6.216666666666666,,0.7634632432366852,11.173595749105806,17.476615239508952
CA,2016,25.0,23.9,26.1,10352.0,10.2,9.4,10.9,51980.0,115.0,27.0,23.47826086956522,13544968.0,39149186,13.615171080278891,55862.0,73011.50982713711,5.516666666666667,3.8375875085123865,1.3277415269885815,11.198372376566992,17.482890188358624
CA,2017,25.1,23.8,26.4,8475.0,10.5,9.6,11.4,73702.0,108.0,19.0,17.59259259259259,13245182.0,39337785,13.978759316479977,58214.0,74498.66508149933,4.833333333333333,5.564438450147382,1.8735676144449922,11.218536485837978,17.48769606532379
CA,2018,25.8,24.8,26.9,10856.0,10.4,9.7,11.2,100168.0,139.0,26.0,18.705035971223023,12867576.0,39437463,14.372857731503997,60984.0,76182.71298338489,4.258333333333334,7.784527559813908,2.539919974061212,11.24088985220216,17.490226760071923
CA,2019,26.2,25.1,27.2,10546.0,10.1,9.4,10.8,149578.0,145.0,33.0,22.75862068965517,12435320.0,39437610,14.814593431005513,64219.0,78796.00541414633,4.091666666666667,12.028480167780161,3.792775474984412,11.274617581847172,17.49023048748527
CA,2020,30.3,28.3,32.2,4354.0,9.8,8.8,11.0,221312.0,167.0,27.0,16.167664670658684,12419017.0,39521958,14.843298030519696,70090.0,84951.70672697661,10.166666666666666,17.820412034221388,5.5997225643527075,11.34983821785737,17.492366974151064
CA,2021,27.6,26.1,29.1,6148.0,11.6,10.6,12.7,323983.0,226.0,34.0,15.044247787610619,13355690.0,39142565,15.321791006869448,77113.0,89270.06429622984,7.35,24.258050314135772,8.276999731622084,11.399421484417685,17.48272105176553
CA,2022,28.1,26.8,29.4,9466.0,11.5,10.6,12.5,529728.0,236.0,36.0,15.254237288135593,14305237.0,39142414,15.728988491890233,77230.0,82780.73327545324,4.283333333333333,37.03035468758749,13.533350293622668,11.32395062338687,17.482717194065064
CA,2023,27.7,26.4,29.0,10538.0,11.5,10.7,12.4,1139126.0,248.0,40.0,16.129032258064516,,39198693,16.176567645697308,81231.0,83626.92881915339,4.716666666666667,,29.06030565866061,11.334120862266518,17.484153962368104
CA,2024,29.1,27.6,30.5,7451.0,12.6,11.6,13.6,1910342.0,263.0,35.0,13.307984790874524,,39431263,16.59607809886773,86378.0,86378.0,5.291666666666667,,48.44739566166065,11.36648829273889,17.49006953678895
CO,2011,20.7,19.7,21.8,12976.0,6.7,6.1,7.3,1508.0,18.0,2.0,11.11111111111111,,5121900,11.306621999928062,43735.0,60990.62839582554,8.691666666666666,,0.294421991838966,11.018475498497393,15.449036021927435
CO,2012,20.5,19.5,21.5,11643.0,7.4,6.9,8.0,1746.0,22.0,3.0,13.636363636363637,,5193660,11.849838658435246,45495.0,62158.76134566573,7.991666666666667,,0.3361791106849505,11.037447057971457,15.4629492089159
CO,2013,21.3,20.4,22.2,12920.0,6.5,6.0,7.0,1739.0,20.0,0.0,0.0,,5270774,12.300069730344164,47088.0,63406.44196194936,6.7250000000000005,,0.32993256777847046,11.05732074349619,15.477687778803547
CO,2014,21.3,20.4,22.2,12567.0,7.3,6.8,7.8,2939.0,25.0,4.0,16.0,,5352637,12.714069108910854,50251.0,66585.42201550672,4.95,,0.549075156787206,11.106240943912807,15.493099894634529
CO,2015,20.2,19.1,21.3,12183.0,6.8,6.2,7.3,4726.0,50.0,18.0,36.0,,5454328,13.062838069107022,51401.0,68028.5368651475,3.7,,0.8664678765193439,11.127682555907286,15.51191997992664
CO,2016,22.3,21.4,23.2,13637.0,6.6,6.2,7.1,6822.0,84.0,17.0,20.238095238095237,1182489.0,5543844,13.425274615190292,51312.0,67064.66994110592,3.1166666666666667,5.7691868592435105,1.2305541065008323,11.113412655846497,15.528198680927842
CO,2017,22.6,21.6,23.7,9063.0,7.4,6.8,8.0,8926.0,77.0,13.0,16.883116883116884,1290910.0,5617421,13.84961018721728,54176.0,69331.08323522362,2.6166666666666667,6.914502172885793,1.5889854080724946,11.146648616150603,15.541383219747361
CO,2018,23.0,21.9,24.0,8234.0,7.0,6.5,7.6,10593.0,89.0,27.0,30.337078651685392,1230513.0,5697155,14.277591353526033,57798.0,72202.68340898727,3.025,8.60860470389179,1.8593490961716856,11.18723249051973,15.55547748539451
CO,2019,23.8,22.7,24.9,8644.0,7.0,6.5,7.6,12983.0,85.0,21.0,24.705882352941178,1178765.0,5758486,14.740361513471347,61278.0,75187.43081904201,2.6666666666666665,11.01406981035236,2.2545856671354243,11.22773935260412,15.566185150899466
CO,2020,24.2,23.1,25.2,9211.0,7.6,7.0,8.1,17716.0,102.0,26.0,25.49019607843137,1265247.0,5787129,14.82485128883014,64707.0,78427.30899104687,6.791666666666667,14.002009093876532,3.061276152648403,11.269927474653484,15.571146871650193
CO,2021,25.1,24.1,26.2,9304.0,7.0,6.5,7.6,27339.0,131.0,41.0,31.297709923664122,1456124.0,5814036,15.29174935332554,71924.0,83263.0049984054,5.508333333333333,18.775186728602783,4.7022412657919554,11.329759611839272,15.575785552032253
CO,2022,25.0,23.9,26.2,8388.0,8.1,7.4,8.9,42094.0,162.0,65.0,40.123456790123456,1578355.0,5850935,15.68527226469056,76653.0,82162.26269277894,3.0666666666666664,26.669538855327225,7.194405680459619,11.316451384300859,15.582112035496564
CO,2023,24.9,23.7,26.1,7958.0,8.6,7.9,9.4,65189.0,198.0,56.0,28.282828282828284,,5901339,16.09375306328937,80021.0,82381.23956417468,3.283333333333333,,11.046476062466501,11.319113014783577,15.590689832279427
CO,2024,25.0,24.0,26.0,9866.0,8.4,7.8,9.0,76693.0,194.0,34.0,17.52577319587629,,5957493,16.47655086494628,82625.0,82625.0,4.125,,12.873368042564213,11.322067577153987,15.600160312964835
CT,2011,24.5,23.0,26.0,6457.0,9.3,8.5,10.2,2898.0,20.0,2.0,10.0,,3588632,14.44233562089651,62964.0,87806.42337520885,9.008333333333333,,0.8075500636454226,11.38288993611815,15.093281629347402
CT,2012,25.6,24.3,26.9,8312.0,9.1,8.3,10.0,3266.0,21.0,2.0,9.523809523809524,,3595211,14.937052442686324,63556.0,86835.08596736193,8.383333333333335,,0.9084306873782929,11.371766035188923,15.09511324004359
CT,2013,25.0,23.5,26.4,7309.0,8.3,7.6,9.1,4222.0,21.0,1.0,4.761904761904762,,3595792,15.335961636401596,62000.0,83486.22582485687,7.95,,1.1741502289342653,11.332436937050165,15.095274830854013
CT,2014,26.3,24.9,27.7,7237.0,9.2,8.5,10.1,7092.0,24.0,2.0,8.333333333333334,,3595697,15.693161112098943,64484.0,85444.95339889625,6.616666666666667,,1.9723575151076411,11.355627627687873,15.09524841073434
CT,2015,25.3,24.1,26.4,10901.0,9.3,8.6,10.0,10345.0,50.0,9.0,18.0,,3588561,16.054702595960748,66222.0,87643.93238037777,5.608333333333333,,2.88277111633326,11.381037662401303,15.093261844453782
CT,2016,26.0,24.8,27.2,9960.0,9.8,9.1,10.5,14306.0,43.0,3.0,6.976744186046512,893737.0,3579830,16.434307475552668,67551.0,88289.00684424007,4.875,16.006946115020416,3.9962791529206694,11.38837088104133,15.090825871215866
CT,2017,26.9,25.6,28.1,9505.0,9.8,9.1,10.5,18504.0,43.0,3.0,6.976744186046512,912175.0,3575324,16.816120183890185,69147.0,88490.0401001552,4.408333333333333,20.2855811658947,5.175475005901563,11.390645283421597,15.089566359374281
CT,2018,27.4,26.2,28.7,9722.0,9.7,9.0,10.4,22729.0,52.0,4.0,7.6923076923076925,946851.0,3574561,17.238495154652266,72159.0,90142.79788416748,3.9,24.004832861770225,6.358543049062528,11.409150335081407,15.089352929367253
CT,2019,29.1,27.8,30.5,8259.0,9.6,8.9,10.3,29041.0,45.0,4.0,8.88888888888889,966346.0,3566022,17.720852841944843,74176.0,91013.13470467804,3.583333333333333,30.052382893911705,8.143808422942987,11.418759112497389,15.086961246763646
CT,2020,29.2,27.7,30.8,7930.0,9.5,8.6,10.4,39306.0,56.0,5.0,8.928571428571429,1005881.0,3579918,17.625466528413234,76832.0,93123.26339345225,8.008333333333333,39.076192909499234,10.979581096550255,11.44167930738398,15.090850453086626
CT,2021,30.4,28.9,31.9,7074.0,10.8,9.9,11.8,53383.0,73.0,10.0,13.698630136986301,1113172.0,3606607,18.012016526681194,82126.0,95073.3767379323,6.441666666666666,47.95575167179915,14.801446345554146,11.462404259160644,15.098277999139578
CT,2022,30.6,29.1,32.1,8212.0,10.7,9.8,11.8,87027.0,90.0,15.0,16.666666666666668,1198418.0,3617925,18.49904049729725,85393.0,91530.43061751623,4.0,72.61823503986088,24.05439582080889,11.42442677102761,15.101411215037606
CT,2023,29.4,27.9,30.9,8340.0,9.9,8.9,10.9,154863.0,102.0,21.0,20.58823529411765,,3643023,18.995371065116764,90276.0,92938.71337393226,3.2,,42.50947633325401,11.439695558922876,15.108324389448674
CT,2024,32.0,30.4,33.6,6311.0,11.7,10.7,12.7,213721.0,97.0,19.0,19.587628865979383,,3675069,19.460047263030237,95083.0,95083.0,3.3083333333333336,,58.15428227333963,11.46250547335331,15.117082465963021
DE,2011,28.8,26.9,30.7,4530.0,9.7,8.7,10.8,712.0,20.0,4.0,20.0,,907590,14.800963096070603,43779.0,61051.988579875295,7.433333333333334,,0.784495201577805,11.019481051979293,13.71854801375749
DE,2012,26.9,25.2,28.6,4944.0,9.7,8.7,10.7,833.0,20.0,4.0,20.0,,915518,15.444481739622615,43771.0,59803.30020576184,6.958333333333333,,0.9098674193188993,10.998816125803277,13.72724530429064
DE,2013,31.1,29.3,32.8,4893.0,11.1,10.1,12.2,820.0,20.0,3.0,15.0,,924062,16.035803736042023,43943.0,59171.53582938202,6.533333333333334,,0.8873863442063411,10.988195891551257,13.736534447939846
DE,2014,30.7,28.6,32.8,3983.0,11.1,10.0,12.3,867.0,22.0,6.0,27.272727272727273,,933131,16.573975627709167,45359.0,60103.244854856006,5.616666666666667,,0.9291299935378848,11.003819109995225,13.746300877261618
DE,2015,29.7,27.6,31.8,3688.0,11.5,10.3,12.7,1200.0,56.0,33.0,58.92857142857143,,942065,17.0882933336743,47238.0,62518.86197614516,4.808333333333334,,1.2737974555895824,11.043223581812885,13.755829553301105
DE,2016,30.7,28.7,32.8,3702.0,10.6,9.5,11.9,2489.0,64.0,26.0,40.625,228149.0,949989,17.654603369130566,48186.0,62978.99488973593,4.533333333333333,10.909537188416342,2.620030337193378,11.05055653533008,13.764205684562318
DE,2017,31.8,29.7,34.0,3648.0,11.3,10.1,12.5,2950.0,56.0,21.0,37.5,233015.0,957942,18.24951182105413,49997.0,63983.0583378521,4.4,12.660129176233289,3.0795183842028013,11.066373613827952,13.772542512322714
DE,2018,33.5,31.7,35.4,4629.0,11.9,10.9,13.0,4079.0,67.0,25.0,37.3134328358209,236303.0,966985,18.85147820239132,52670.0,65796.65966212256,3.6916666666666655,17.261735991502434,4.218266053765054,11.094324351011487,13.78193826242267
DE,2019,34.4,32.1,36.6,3401.0,12.8,11.5,14.2,6368.0,64.0,29.0,45.3125,236263.0,976668,19.466221423067044,53778.0,65985.01345648424,3.5500000000000003,26.953014225672238,6.520127617573218,11.097182926383383,13.791902057511923
DE,2020,36.5,34.3,38.8,3520.0,12.4,11.1,13.9,8777.0,70.0,34.0,48.57142857142857,246913.0,991928,19.45540411588929,55520.0,67292.32069456045,7.524999999999999,35.54693353529381,8.84842448242211,11.116801403543686,13.807405802987747
DE,2021,33.9,31.8,36.1,3215.0,12.0,10.7,13.4,13098.0,93.0,35.0,37.634408602150536,274917.0,1005062,20.006790527214537,59869.0,69307.50300663941,5.483333333333333,47.64347057475529,13.03203185475125,11.14630844781146,13.820559789114757
DE,2022,37.9,35.6,40.2,3550.0,13.9,12.5,15.3,19390.0,120.0,49.0,40.833333333333336,300711.0,1020625,20.61527873365451,64087.0,68693.10958725847,4.208333333333333,64.4805145139353,18.998162890385792,11.13740417605165,13.835925742706866
DE,2023,35.7,33.5,38.0,3899.0,13.3,11.9,14.8,32763.0,151.0,49.0,32.450331125827816,,1036423,21.225817818531024,64658.0,66565.10400695326,3.891666666666666,,31.61161031740901,11.105935755351888,13.851285919627632
DE,2024,36.6,34.5,38.9,3921.0,13.2,12.0,14.6,40427.0,178.0,59.0,33.146067415730336,,1051917,21.84268702779309,68177.0,68177.0,3.9166666666666665,,38.43173938628238,11.12986254355045,13.866124771828831
DC,2011,23.7,21.9,25.7,4368.0,9.1,8.0,10.3,101.0,16.0,13.0,81.25,,620290,11.367590597612145,66985.0,93413.90746757457,10.083333333333334,,0.1628270647600316,11.444795515354524,13.337942389599599
DC,2012,21.9,19.9,24.1,3644.0,8.3,7.2,9.5,335.0,34.0,21.0,61.76470588235294,,635737,11.48858285824473,67522.0,92253.73961055152,8.958333333333334,,0.5269474641243156,11.432298098864896,13.362540234785875
DC,2013,22.9,21.0,24.8,4705.0,7.8,6.9,8.8,300.0,35.0,22.0,62.857142857142854,,651559,11.567658623950438,67081.0,90328.05668640682,8.416666666666666,,0.4604341279914789,11.411203396422012,13.387123231692293
DC,2014,21.7,19.5,24.0,3787.0,8.4,7.3,9.7,456.0,34.0,21.0,61.76470588235294,,663603,11.721985729651118,70527.0,93452.270770485,7.716666666666666,,0.6871578338253443,11.445206111898116,13.405439358083868
DC,2015,22.1,19.7,24.8,3654.0,8.5,7.3,10.0,874.0,40.0,24.0,60.0,,677014,11.887082519476854,74784.0,98975.62500580124,6.883333333333333,,1.2909629638382663,11.502628886738947,13.425447231148837
DC,2016,22.6,20.9,24.3,3479.0,7.7,6.9,8.6,1471.0,68.0,42.0,61.76470588235294,234757.0,687576,12.01381204147711,77500.0,101292.32772910252,6.233333333333333,6.266053834390455,2.139399862706086,11.525765949255,13.44092764786771
DC,2017,23.0,21.4,24.7,4091.0,7.5,6.6,8.4,3388.0,81.0,36.0,44.44444444444444,252211.0,697079,12.09031686252546,79567.0,101824.90954993055,6.108333333333333,13.433196807435044,4.860281259369454,11.531010044226806,13.454654026217975
DC,2018,24.7,22.9,26.5,4081.0,8.4,7.5,9.4,4973.0,83.0,31.0,37.34939759036145,250673.0,704147,12.273821387067024,82272.0,102776.20626015088,5.716666666666666,19.83859450359632,7.062445767716116,11.540309148599668,13.464742420161253
DC,2019,23.8,21.7,25.9,2367.0,8.7,7.6,9.9,8707.0,90.0,37.0,41.111111111111114,248257.0,708253,12.509012870663176,83675.0,102668.30304160288,5.516666666666667,35.0725256488236,12.293629536338004,11.539258711877492,13.470556653476239
DC,2020,24.3,22.3,26.4,3126.0,7.5,6.5,8.7,11102.0,108.0,51.0,47.22222222222222,247449.0,670917,12.567341895383231,90736.0,109975.43246652804,7.966666666666666,44.86581073271664,16.54750140479374,11.608012278616808,13.416400712326686
DC,2021,24.7,22.6,26.9,2822.0,7.7,6.7,8.9,13602.0,135.0,59.0,43.7037037037037,266603.0,669256,12.837516199125735,98087.0,113550.66975249696,6.8500000000000005,51.01968094882653,20.324061345733174,11.640004445820994,13.41392192660203
DC,2022,24.3,22.2,26.5,2882.0,8.0,6.9,9.3,18810.0,173.0,69.0,39.884393063583815,282571.0,676725,12.92656598697232,101182.0,108454.22962937862,4.7,66.56734059758432,27.79563338135875,11.59408351622645,13.425020265530812
DC,2023,23.5,21.4,25.8,2888.0,7.4,6.4,8.6,22393.0,210.0,90.0,42.857142857142854,,687324,13.001197128645286,107384.0,110551.31814597837,4.858333333333333,,32.579976837706816,11.613235109742128,13.44056107574927
DC,2024,25.5,23.5,27.5,2901.0,8.4,7.4,9.6,30629.0,234.0,113.0,48.29059829059829,,702250,13.010573352633898,112944.0,112944.0,5.308333333333334,,43.61552153791385,11.634647399635254,13.46204474496649
FL,2011,26.6,25.4,27.9,11770.0,10.4,9.7,11.2,5646.0,40.0,7.0,17.5,,19055607,17.692930143588242,40437.0,56391.4036913684,10.183333333333334,,0.29629074529087424,10.940072009049818,16.76287194693886
FL,2012,25.2,23.7,26.8,7282.0,11.4,10.4,12.5,6163.0,38.0,8.0,21.05263157894737,,19302016,18.23525500241262,41211.0,56305.63169175141,8.674999999999999,,0.31929307280648817,10.93854983917398,16.775720104378518
FL,2013,26.4,25.3,27.4,32552.0,11.2,10.5,11.9,6279.0,37.0,2.0,5.405405405405405,,19551678,18.66680068065829,40743.0,54862.569335195854,7.516666666666667,,0.3211489059915983,10.912586597795114,16.788571671914408
FL,2014,26.2,25.0,27.5,9156.0,11.2,10.4,12.0,8542.0,46.0,6.0,13.043478260869565,,19853880,19.062576133908745,42877.0,56814.45423491834,6.441666666666666,,0.43024335797335334,10.947546048302598,16.803910011991448
FL,2015,26.8,25.5,28.1,8985.0,11.3,10.5,12.1,13036.0,90.0,29.0,32.22222222222222,,20219111,19.422324868765124,44957.0,59499.98894664376,5.5,,0.6447365564193203,10.993731405763011,16.82213880422012
FL,2016,27.4,26.4,28.5,33186.0,11.8,11.1,12.4,17033.0,87.0,27.0,31.03448275862069,4523065.0,20627237,19.776295599469584,45730.0,59769.00834905625,4.908333333333334,3.765809246606007,0.8257528625864918,10.998242550565662,16.842122944909654
FL,2017,28.4,27.0,29.9,19913.0,10.5,9.7,11.4,15358.0,74.0,23.0,31.08108108108108,4637561.0,20977089,20.12905312307152,48447.0,61999.46451374924,4.283333333333333,3.3116545528996815,0.7321320894429155,11.034881027114919,16.858941400113977
FL,2018,30.7,29.1,32.3,13804.0,12.6,11.6,13.6,17370.0,83.0,28.0,33.734939759036145,4549658.0,21254926,20.506159146686805,51015.0,63729.19294974715,3.641666666666667,3.8178693871055804,0.8172223229570407,11.062398024643457,16.87209923823521
FL,2019,27.0,25.6,28.5,15091.0,11.7,10.8,12.6,21725.0,97.0,23.0,23.711340206185568,4389799.0,21492056,20.97581475810744,53666.0,65847.59069053672,3.2416666666666667,4.948973745722754,1.0108386093913024,11.095098118659049,16.88319393644815
FL,2020,28.4,26.7,30.2,10591.0,11.8,10.7,13.0,30941.0,117.0,37.0,31.623931623931625,4500149.0,21592035,20.85985787076288,56599.0,68600.10913168995,8.066666666666666,6.875550120673783,1.4329821158589267,11.136049404553672,16.887835054649393
FL,2021,,,,,,,,53037.0,152.0,48.0,31.57894736842105,5033868.0,21831949,21.239471600978177,62604.0,72473.68284467176,4.7250000000000005,10.536033126017607,2.4293296031426235,11.190978779698137,16.89888500534706
FL,2022,31.6,29.9,33.4,11805.0,12.2,11.1,13.4,92689.0,190.0,81.0,42.63157894736842,5445631.0,22379312,21.40468600593081,65328.0,70023.30368275035,3.0083333333333333,17.02080071161634,4.141726966405401,11.156583375382915,16.923647518641825
FL,2023,30.1,28.4,31.8,11943.0,12.5,11.4,13.7,124992.0,240.0,97.0,40.416666666666664,,22904868,21.60554773708144,69983.0,72047.16622411163,2.9250000000000003,,5.457005908089058,11.185076269968723,16.946860022352517
FL,2024,29.6,28.1,31.3,11860.0,11.9,10.9,13.0,131710.0,230.0,95.0,41.30434782608695,,23372215,21.84074314591585,73340.0,73340.0,3.358333333333333,,5.635323823608503,11.202861441625316,16.96705848165574
GA,2011,28.0,26.6,29.4,9353.0,10.1,9.4,10.9,563.0,22.0,6.0,27.272727272727273,,9803630,11.050215665473228,36760.0,51263.64467430083,10.033333333333331,,0.057427707900032945,10.844737099113061,16.098263283219897
GA,2012,29.1,27.5,30.8,5737.0,9.9,9.0,10.8,1034.0,36.0,5.0,13.88888888888889,,9903580,11.575824775164806,37250.0,50893.80943237825,9.041666666666666,,0.10440668929821337,10.837496572988371,16.10840686589907
GA,2013,30.3,28.9,31.8,7606.0,10.8,10.0,11.7,1114.0,41.0,13.0,31.70731707317073,,9975592,12.0475694592272,37484.0,50474.15627127314,8.133333333333333,,0.11167257040985638,10.829216727266651,16.115651867350085
GA,2014,30.5,28.9,32.1,5844.0,11.6,10.7,12.5,1326.0,46.0,12.0,26.08695652173913,,10071204,12.477458771652348,39550.0,52405.990740747264,7.15,,0.13166251026193096,10.866776190887785,16.125190820606242
GA,2015,30.7,28.8,32.6,4269.0,11.3,10.3,12.4,1894.0,83.0,45.0,54.21686746987952,,10183353,12.863386277111143,41527.0,54960.42976593802,6.05,,0.1859898208379892,10.914368746478795,16.136264886172132
GA,2016,31.4,29.7,33.2,4884.0,12.1,11.1,13.1,3366.0,84.0,32.0,38.095238095238095,1861209.0,10308442,13.216252483867304,42742.0,55863.698990932906,5.45,1.808501893124308,0.3265284899502757,10.930670056263699,16.148473729152137
GA,2017,31.6,30.0,33.3,5369.0,11.4,10.4,12.3,4498.0,79.0,18.0,22.78481012658228,1891562.0,10417031,13.582206813120088,44836.0,57378.33077256509,4.758333333333334,2.377928928578603,0.43179289761161316,10.957421998358727,16.15895262086693
GA,2018,32.5,31.2,33.8,8231.0,12.6,11.8,13.4,7479.0,92.0,31.0,33.69565217391305,1954646.0,10519389,13.97299525827583,46624.0,58243.84773280429,4.016666666666667,3.826268285919803,0.7109728521304802,10.972393747528983,16.16873068373923
GA,2019,33.1,31.3,35.0,6470.0,12.0,11.0,13.0,11142.0,88.0,25.0,28.40909090909091,1965128.0,10628020,14.37928323883252,48529.0,59544.54829167548,3.6,5.669859673263014,1.0483608423770372,10.994480022174086,16.179004467681676
GA,2020,34.3,32.5,36.0,8072.0,11.6,10.7,12.5,16428.0,105.0,35.0,33.333333333333336,2070773.0,10732888,14.370848521236953,51497.0,62416.29392665308,6.55,7.933269363662748,1.5306225127850026,11.041581640890904,16.188823230302535
GA,2021,33.9,32.2,35.6,7076.0,12.3,11.3,13.3,24217.0,137.0,32.0,23.357664233576642,2291333.0,10792060,14.72896393529894,56257.0,65126.06184577182,3.9166666666666665,10.568957021960578,2.243964544303868,11.084080083656287,16.194321236528108
GA,2022,37.0,35.4,38.7,8018.0,12.1,11.2,13.0,37744.0,185.0,69.0,37.2972972972973,2460257.0,10931805,15.04440077573769,57405.0,61530.85580315154,3.1166666666666667,15.341486682082401,3.4526777599856566,11.027294048351472,16.20718698832984
GA,2023,35.0,33.4,36.7,7373.0,12.7,11.8,13.7,58532.0,237.0,80.0,33.755274261603375,,11064432,15.422067436125372,60010.0,61780.01007543173,3.225,,5.290104363242506,11.031335129558213,16.21924619711762
GA,2024,35.4,33.7,37.1,6551.0,12.8,11.8,14.0,53483.0,225.0,60.0,26.666666666666668,,11180878,15.822456453080314,62875.0,62875.0,3.4,,4.783434717738625,11.04890390740204,16.229715555702477
HI,2011,21.8,20.4,23.4,7407.0,8.4,7.6,9.3,1063.0,20.0,4.0,20.0,,1379562,15.15937496501252,42758.0,59628.15339999333,6.708333333333333,,0.7705344159958015,10.99588311400379,14.137276615449759
HI,2012,23.6,22.0,25.2,7371.0,7.7,6.8,8.8,1192.0,22.0,4.0,18.181818181818183,,1395199,15.691183300841052,43523.0,59464.46356846707,5.808333333333334,,0.8543584105206498,10.993134162158192,14.148547615393475
HI,2013,21.8,20.4,23.2,7609.0,8.4,7.5,9.3,1404.0,21.0,1.0,4.761904761904762,,1408822,16.225758230661807,43548.0,58639.64777775591,4.716666666666667,,0.996577282296841,10.979166330024007,14.158264452169403
HI,2014,22.1,20.7,23.5,6905.0,9.8,8.8,10.8,1481.0,22.0,2.0,9.090909090909092,,1415335,16.794566025379112,45445.0,60217.19972726319,4.2250000000000005,,1.0463953763596605,11.005713300244855,14.162876810155433
HI,2015,22.7,21.3,24.1,6822.0,8.5,7.7,9.4,2582.0,46.0,17.0,36.95652173913044,,1422999,17.33625448337614,47150.0,62402.3951516839,3.4166666666666665,,1.814477733294261,11.041358937461967,14.168277174331054
