state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
NJ,2013,26.3,25.1,27.5,12256.0,9.2,8.5,9.9,8547.0,42.0,5.0,11.904761904761905,,8857821,14.539331188685845,54365.0,73205.30108013457,8.416666666666666,,0.9649099931010121,11.201023116454786,15.996811355539268
NJ,2014,26.9,25.7,28.1,11955.0,9.7,9.0,10.4,12050.0,49.0,16.0,32.6530612244898,,8867277,14.874497342454724,56367.0,74689.468522976,6.683333333333334,,1.358929015074188,11.221094377553618,15.997878317301293
NJ,2015,25.6,24.3,26.9,10184.0,9.0,8.3,9.8,19836.0,90.0,45.0,50.0,,8870312,15.20607579920404,58408.0,77302.20776287494,5.691666666666666,,2.236223483458079,11.255477795136285,15.998220528413482
NJ,2016,27.4,25.7,29.1,6810.0,9.2,8.3,10.2,32339.0,91.0,43.0,47.252747252747255,1586765.0,8873584,15.557931102324895,59776.0,78127.09912690107,4.933333333333334,20.38045961437264,3.6444124493553,11.266092255502075,15.998589331300636
NJ,2017,27.3,25.8,28.7,10394.0,11.0,10.2,12.0,33793.0,89.0,42.0,47.19101123595506,1590484.0,8888147,15.871443718389328,61704.0,78964.95053060836,4.516666666666667,21.246991481838233,3.802029826914429,11.276759368831577,16.00022914931875
NJ,2018,25.7,23.3,28.2,2767.0,10.8,9.2,12.5,38119.0,99.0,39.0,39.39393939393939,1572657.0,8891730,16.236377846272735,64198.0,80197.72084657195,4.016666666666667,24.23859748184124,4.287017262107599,11.292250375078876,16.000632189232746
NJ,2019,,,,,,,,47565.0,104.0,44.0,42.30769230769231,1514599.0,8891258,16.620062702560052,67518.0,82843.84206469008,3.458333333333333,31.404351910967854,5.349636688081709,11.324712693776018,16.000579104790457
NJ,2020,27.7,26.5,28.9,9392.0,10.0,9.2,10.8,56565.0,116.0,49.0,42.241379310344826,1592115.0,9272794,16.368895775888948,70462.0,85402.58466822979,9.483333333333333,35.52821247208902,6.100103162002736,11.355131644754618,16.042595294502714
NJ,2021,28.2,26.8,29.6,6665.0,10.3,9.4,11.1,72587.0,143.0,56.0,39.16083916083916,1793718.0,9270541,16.808011953369768,76340.0,88375.19884292125,6.7,40.46734213516283,7.829855884354537,11.389346653186966,16.042352296141193
NJ,2022,29.1,27.6,30.7,6760.0,10.8,9.8,12.0,98431.0,181.0,83.0,45.85635359116022,1924358.0,9295227,17.225068673546744,77416.0,82980.10160886298,3.8666666666666663,51.15004588543296,10.58941325478119,11.326356118384338,16.04501160057159
NJ,2023,28.9,27.5,30.3,8296.0,10.5,9.7,11.4,123040.0,211.0,106.0,50.23696682464455,,9379642,17.608898936597008,81448.0,83850.32928884792,4.3,,13.117771445861154,11.336788694361687,16.054052153942756
